id_product,total_revenue,total_loss,loss_percentage
1,17187280.35,511877.62,0.0298
2,8862231.15,791932.34,0.0894
3,4322136.25,300737.87,0.0696
4,1915160.0,94095.89,0.0491
5,13494880.35,1040693.1,0.0771
6,7663037.2,126627.98,0.0165
7,7820196.45,155465.08,0.0199
8,2587770.15,110857.77,0.0428
9,22157655.25,830944.97,0.0375
10,13035840.25,809349.93,0.0621
11,22650384.0,1415372.33,0.0625
12,1306660.2,35547.02,0.0272
13,3774383.0,35069.62,0.0093
14,16947590.9,705445.14,0.0416
15,13966622.75,490552.99,0.0351
16,16048709.1,545886.1,0.034
17,7076248.8,408388.24,0.0577
18,15287126.05,901047.91,0.0589
19,7492328.0,627524.81,0.0838
20,15922388.15,262716.78,0.0165
21,3879456.5,127928.56,0.033
22,24705380.9,1020350.34,0.0413
23,5987275.65,403816.39,0.0674
24,9471755.8,40959.0,0.0043
25,5770979.95,292163.32,0.0506
26,10661130.65,685646.12,0.0643
27,7882563.15,140821.98,0.0179
28,8486694.85,445351.88,0.0525
29,17804264.0,1861333.41,0.1045
30,19077841.0,1086147.63,0.0569
31,4660491.45,840703.54,0.1804
32,5661111.95,377261.31,0.0666
33,4045248.6,223500.75,0.0553
34,2279524.75,177472.51,0.0779
35,6692463.1,214054.05,0.032
36,12750576.4,917285.03,0.0719
37,3020509.0,160907.35,0.0533
38,10351595.7,651408.87,0.0629
39,15493523.15,202746.93,0.0131
40,6858683.8,601213.89,0.0877
41,5067330.0,76877.47,0.0152
42,2810048.65,345495.54,0.123
43,12661193.95,175513.43,0.0139
44,5588763.3,386650.21,0.0692
45,5783276.45,280732.15,0.0485
46,2603273.2,162273.22,0.0623
47,3184863.8,680000.91,0.2135
48,9081279.75,344786.49,0.038
49,6730281.8,282142.18,0.0419
50,5603608.2,540823.51,0.0965
51,36554590.25,1347973.93,0.0369
52,7764053.75,182431.11,0.0235
53,26077998.75,1048750.35,0.0402
54,65859716.1,2394380.93,0.0364
55,61224375.0,5597894.25,0.0914
56,24550887.6,843623.69,0.0344
57,44148517.0,2635996.68,0.0597
58,53378462.75,980695.27,0.0184
59,36784114.4,1356424.9,0.0369
60,53418532.0,3035102.62,0.0568
61,17615312.85,384067.05,0.0218
62,44625014.1,2303944.9,0.0516
63,68817185.9,4614028.37,0.067
64,47495794.85,2043068.08,0.043
65,14137244.7,911425.12,0.0645
66,5470546.8,156350.89,0.0286
67,52820315.75,2551050.47,0.0483
68,25675107.6,1851092.44,0.0721
69,26249173.5,846947.8,0.0323
70,16629741.7,298519.97,0.018
71,81567066.65,6120379.87,0.075
72,63057815.65,39959694.85,0.6337
73,69554254.8,2586791.56,0.0372
74,59764356.15,7004602.39,0.1172
75,11927691.6,224814.97,0.0188
76,83539339.4,1436106.68,0.0172
77,21004486.95,1913798.58,0.0911
78,58043733.35,4500947.9,0.0775
79,35699451.8,429579.06,0.012
80,67332086.05,2156009.67,0.032
81,64195127.6,2391408.88,0.0373
82,28700772.7,881720.89,0.0307
83,44377440.0,18382383.33,0.4142
84,19827349.3,1310832.84,0.0661
85,23006404.95,1499286.49,0.0652
86,45901157.95,1813969.62,0.0395
87,27930725.05,2108366.74,0.0755
88,22442621.25,2239678.27,0.0998
89,40987327.45,1067079.98,0.026
90,38927756.5,1300320.47,0.0334
91,66829268.7,5396483.0,0.0808
92,40122068.25,669384.75,0.0167
93,46309849.3,1559520.25,0.0337
94,22877526.7,1048836.34,0.0458
95,25671902.7,549859.17,0.0214
96,27227868.9,2985538.62,0.1097
97,55264073.6,2620971.81,0.0474
98,47088930.65,2403984.14,0.0511
99,56095102.95,2190485.28,0.039
100,51703898.6,2246364.42,0.0434
101,282745.9,11111.35,0.0393
102,335379.2,96282.77,0.2871
103,1136043.45,30449.03,0.0268
104,1275786.8,114108.51,0.0894
105,145543.95,4907.77,0.0337
106,2420004.35,199771.43,0.0826
107,781887.35,64771.12,0.0828
108,2164907.1,172675.37,0.0798
109,328320.15,101206.61,0.3083
110,1376911.55,31060.03,0.0226
111,1837290.75,138242.91,0.0752
112,1232787.8,34164.0,0.0277
113,2210235.65,36085.67,0.0163
114,358759.9,15218.84,0.0424
115,531036.05,28019.99,0.0528
116,1675128.3,82932.85,0.0495
117,1770239.35,120472.96,0.0681
118,2104693.9,112410.83,0.0534
119,1668115.45,137426.24,0.0824
120,1739699.5,121949.05,0.0701
121,1594081.05,86603.15,0.0543
122,802274.55,66807.75,0.0833
123,976833.25,32795.9,0.0336
124,2447622.6,38346.57,0.0157
125,1956700.1,42592.57,0.0218
126,1388455.25,7993.89,0.0058
127,978490.9,33089.88,0.0338
128,2549291.0,45611.39,0.0179
129,1905993.75,93367.46,0.049
130,2698421.3,73958.56,0.0274
131,456842.7,20809.88,0.0456
132,817527.15,59947.08,0.0733
133,987146.6,42377.14,0.0429
134,2555054.95,139501.78,0.0546
135,838627.55,42103.63,0.0502
136,1049801.0,251195.08,0.2393
137,1628411.45,98071.46,0.0602
138,2179780.65,134176.17,0.0616
139,837046.15,4849.34,0.0058
140,1715559.05,93700.89,0.0546
141,2321325.85,142880.77,0.0616
142,411550.1,26393.74,0.0641
143,2075805.45,130341.39,0.0628
144,1139729.85,46443.03,0.0407
145,2398943.7,118882.34,0.0496
146,277313.6,10900.66,0.0393
147,1326261.95,82277.07,0.062
148,2701447.25,121174.75,0.0449
149,637139.85,19357.07,0.0304
150,802757.0,29346.33,0.0366
